Schema;Table;COLUMN_NAME;ORDINAL_POSITION;DATA_TYPE;IS_NULLABLE;IS_PRIMARY_KEY;IS_FOREIGN_KEY;Description
dbo;OpcData;Id;1;bigint;NO;1;0;NULL
dbo;OpcData;TagId;2;int;NO;0;1;NULL
dbo;OpcData;Value;3;float;NO;0;0;NULL
dbo;OpcData;Timestamp;4;datetime;NO;0;0;NULL
dbo;OpcData;Status;5;nvarchar(50);NO;0;0;NULL
dbo;OpcServers;Id;1;int;NO;1;0;NULL
dbo;OpcServers;Name;2;nvarchar(100);NO;0;0;NULL
dbo;OpcServers;EndpointUrl;3;nvarchar(250);NO;0;0;NULL
dbo;OpcServers;Description;4;nvarchar(255);YES;0;0;NULL
dbo;OpcTags;Id;1;int;NO;1;0;NULL
dbo;OpcTags;ServerId;2;int;NO;0;1;NULL
dbo;OpcTags;BrowseName;3;nvarchar(200);NO;0;0;NULL
dbo;OpcTags;NodeId;4;nvarchar(500);NO;0;0;NULL
dbo;OpcTags;DataType;5;nvarchar(100);NO;0;0;NULL
dbo;OpcTags;Description;6;nvarchar(255);YES;0;0;NULL
dbo;OpcTags;PollingInterval;7;int;YES;0;0;NULL
dbo;PollingIntervals;Id;1;int;NO;1;0;NULL
dbo;PollingIntervals;Name;2;nvarchar(50);NO;0;0;NULL
dbo;PollingIntervals;IntervalSeconds;3;int;NO;0;0;NULL
dbo;PollingIntervals;Type;4;nvarchar(20);YES;0;0;NULL
dbo;PollingTasks;id;1;int;NO;1;0;NULL
dbo;PollingTasks;server_url;2;nvarchar(255);NO;0;0;NULL
dbo;PollingTasks;tag_ids;3;nvarchar(-1);NO;0;0;NULL
dbo;PollingTasks;is_active;4;bit;NO;0;0;NULL
dbo;PollingTasks;started_at;5;datetime;YES;0;0;NULL
dbo;PollingTasks;interval_id;6;int;YES;0;0;NULL
dbo;PollingTaskTags;id;1;int;NO;1;0;NULL
dbo;PollingTaskTags;polling_task_id;2;int;NO;0;0;NULL
dbo;PollingTaskTags;tag_id;3;int;NO;0;1;NULL
